round,item_name,n_reached,usage_matches,usage_rate,wins_with,wins_without,winrate_with,winrate_without,delta_winrate,wilson_with_lo,wilson_with_hi,wilson_without_lo,wilson_without_hi
1,Magic Badge,887,8,0.009019165727170236,4,577,0.004509582863585118,0.6505073280721533,-0.6459977452085681,0.001755015818430467,0.011537583000484141,0.6185402752547402,0.6811763073565793
1,Twine Badge,887,7,0.007891770011273957,3,578,0.0033821871476888386,0.6516347237880497,-0.6482525366403609,0.0011508803342703778,0.00989665045010251,0.6196861685865823,0.6822754820592788
1,Cap of Resilience,887,6,0.006764374295377677,2,579,0.002254791431792559,0.6527621195039459,-0.6505073280721534,0.0006185501238100549,0.008183912626021117,0.6208322538867337,0.6833744647936693
1,Demonic Flask,887,4,0.004509582863585118,2,579,0.002254791431792559,0.6527621195039459,-0.6505073280721534,0.0006185501238100549,0.008183912626021117,0.6208322538867337,0.6833744647936693
1,Fanfare,887,4,0.004509582863585118,2,579,0.002254791431792559,0.6527621195039459,-0.6505073280721534,0.0006185501238100549,0.008183912626021117,0.6208322538867337,0.6833744647936693
1,Goobert,887,14,0.015783540022547914,2,579,0.002254791431792559,0.6527621195039459,-0.6505073280721534,0.0006185501238100549,0.008183912626021117,0.6208322538867337,0.6833744647936693
1,Shortbow,887,2,0.002254791431792559,2,579,0.002254791431792559,0.6527621195039459,-0.6505073280721534,0.0006185501238100549,0.008183912626021117,0.6208322538867337,0.6833744647936693
1,Axe,887,1,0.0011273957158962795,1,580,0.0011273957158962795,0.6538895152198422,-0.6527621195039459,0.0001990356357980715,0.0063583590794913806,0.6219785315892563,0.6844732551256882
1,Forging Hammer,887,1,0.0011273957158962795,1,580,0.0011273957158962795,0.6538895152198422,-0.6527621195039459,0.0001990356357980715,0.0063583590794913806,0.6219785315892563,0.6844732551256882
1,Magic For Dummies,887,2,0.002254791431792559,1,580,0.0011273957158962795,0.6538895152198422,-0.6527621195039459,0.0001990356357980715,0.0063583590794913806,0.6219785315892563,0.6844732551256882
1,Wand of Equilibrium,887,1,0.0011273957158962795,1,580,0.0011273957158962795,0.6538895152198422,-0.6527621195039459,0.0001990356357980715,0.0063583590794913806,0.6219785315892563,0.6844732551256882
1,Flawed Topaz,887,1,0.0011273957158962795,0,581,0.0,0.6550169109357384,-0.6550169109357384,0.0,0.004312326680747733,0.6231250021330846,0.6855718526164017
1,Reverse!,887,1,0.0011273957158962795,0,581,0.0,0.6550169109357384,-0.6550169109357384,0.0,0.004312326680747733,0.6231250021330846,0.6855718526164017
1,Torch,887,1,0.0011273957158962795,0,581,0.0,0.6550169109357384,-0.6550169109357384,0.0,0.004312326680747733,0.6231250021330846,0.6855718526164017
1,Twine,887,2,0.002254791431792559,0,581,0.0,0.6550169109357384,-0.6550169109357384,0.0,0.004312326680747733,0.6231250021330846,0.6855718526164017
2,Leather Bag,887,884,0.9966178128523112,645,2,0.7271702367531003,0.002254791431792559,0.7249154453213078,0.6969246164703791,0.7554565924897774,0.0006185501238100549,0.008183912626021117
2,Piggybank,887,614,0.6922209695603156,440,207,0.496054114994363,0.23337091319052988,0.26268320180383314,0.4632379949826205,0.5289042668964835,0.20672078093059482,0.26232062890028873
2,Storage Coffin,887,507,0.5715896279594137,387,260,0.4363021420518602,0.29312288613303267,0.14317925591882752,0.404009049246329,0.4691446068020639,0.26410985795224107,0.32392015770935356
