item_name,cnt,matches,avg_round
Devouring Sphere,47,6,13.702127659574469
Elephant Rune,47,7,14.404255319148936
Ice Flower,47,7,13.851063829787234
Encyclopspedia of Darkness,45,9,14.222222222222221
Spiked Staff,45,6,12.955555555555556
Black Pawn,44,4,10.0
Shortbow,41,16,4.0
Scissorswords,40,6,14.85
White Bishop,40,4,12.4
Hawk Rune,39,8,15.487179487179487
Pop,37,6,12.08108108108108
Dragon Claws,35,4,11.914285714285715
Happy Bomb,35,6,14.342857142857143
Black Bishop,34,6,14.088235294117647
Black Knight,33,3,11.151515151515152
Hyper Hedgehog,33,3,12.878787878787879
Badger Rune,32,8,14.1875
Broccoli Goobert,32,4,12.96875
Armored Power Puppy,30,7,15.066666666666666
Rat Chef,30,5,14.3
Spiked Collar,27,9,13.555555555555555
Heart Shield,26,7,15.153846153846153
Squirrel Archer,25,4,14.16
Dragon Knight,22,3,14.636363636363637
Impractically Large Bloodthorne,22,4,14.318181818181818
Staff of Fire,21,2,13.238095238095237
Sapphire Whelp,20,4,14.5
Armored Wisdom Puppy,19,5,14.0
Courage Puppy,19,2,13.736842105263158
Tusk Poker,19,3,9.526315789473685
White Knight,18,2,13.11111111111111
Blue Sage Collar,17,8,14.823529411764707
Daggerang,17,2,13.882352941176471
Bow and Arrow,16,4,6.125
Snowmaster,16,3,14.6875
Emerald Whelp,15,2,14.2
Amethyst Whelp,14,2,13.214285714285714
Armored Courage Puppy,14,4,15.142857142857142
Axe,14,3,3.857142857142857
Burning Sword,14,5,7.428571428571429
Wisdom Puppy,14,2,13.785714285714286
Double Axe,13,1,12.0
Dragonscale Armor,13,3,13.384615384615385
White King,13,2,12.615384615384615
Carrot Goobert,12,1,12.5
Chain Whip,12,1,12.5
Bunch of Coins,11,7,10.0
Cupcake Staff,11,1,13.0
Spell Scroll: Frostbolt,11,1,13.0
Fortuna's Grace,10,1,13.5
Molten Greatsword,10,1,13.5
Rainbow Goobert Omegaooze Primeslime,10,2,15.9
Rat,9,7,12.333333333333334
Jynx Staff,8,2,16.375
Phoenix,8,2,10.125
Squirrel,8,2,13.0
Black King,7,1,15.0
Boomerang,7,2,5.142857142857143
Power Puppy,7,5,15.285714285714286
Impractically Large Greatsword,6,5,10.666666666666666
Mage Hat,6,2,7.166666666666667
Black Queen,5,1,16.0
Sapphire Egg,5,3,9.2
Amethyst Egg,4,2,8.5
Hedgehog,4,2,16.5
Black Rook,3,1,17.0
Spiked Wall,3,2,12.333333333333334
Employee Uniform,2,1,3.5
White Queen,2,1,11.5
Emerald Egg,1,1,13.0
