A,B,nAB,nA,nB,M,pAB,pA,pB,lift,pmi
Chipped Emerald,Nocturnal Lock Lifter,57,228,188,887,0.06426155580608793,0.2570462232243517,0.21195039458850057,1.1795212765957446,0.23820144262342638
Piggybank,Shelly,45,80,423,887,0.05073280721533258,0.09019165727170236,0.4768883878241263,1.1795212765957446,0.23820144262342638
Jynx torquilla,Stone Shoes,22,197,84,887,0.02480270574971815,0.22209695603156707,0.09470124013528748,1.179236161469664,0.2378526707032246
Blueberries,Moon Shield,67,379,133,887,0.07553551296505073,0.42728297632469,0.14994363021420518,1.1789830777471382,0.23754301108655487
Burning Coal,No Rush Please,31,214,109,887,0.03494926719278467,0.24126268320180383,0.12288613303269448,1.1788133413358484,0.23733529350986574
Chipped Amethyst,Heart Container,64,301,160,887,0.07215332581736189,0.33934611048478014,0.18038331454340473,1.1787375415282393,0.2372425226539996
Shiny Shell,Smelly Wall,20,173,87,887,0.02254791431792559,0.19503945885005636,0.09808342728297632,1.1786592253006445,0.2371466657029733
Burning Coal,Wolpertinger,60,214,211,887,0.06764374295377677,0.24126268320180383,0.237880496054115,1.178633122204013,0.23711471480125035
Cap of Discomfort,Piggy Pinata,35,497,53,887,0.03945885005636979,0.560315670800451,0.05975197294250282,1.178580919479139,0.23705081512054502
Platinum Customer Card,Vampiric Potion,25,196,96,887,0.02818489289740699,0.2209695603156708,0.10822998872604284,1.1785182823129252,0.23697413923942423
Amulet of Energy,Flawed Sapphire,28,136,155,887,0.03156708004509583,0.15332581736189402,0.17474633596392333,1.1781783681214422,0.23655796983409108
Maneki-neko,Regular Topaz,56,340,124,887,0.06313416009019165,0.3833145434047351,0.13979706877113868,1.178178368121442,0.2365579698340908
Amulet of Alchemy,Star of Courage,21,102,155,887,0.02367531003382187,0.11499436302142052,0.17474633596392333,1.178178368121442,0.2365579698340908
Mana Orb,Pocket Sand,46,312,111,887,0.05186020293122886,0.35174746335963925,0.12514092446448705,1.178158928158928,0.23653416514572223
Corrupted Crystal,Death Scythe,78,405,145,887,0.08793686583990981,0.45659526493799324,0.16347237880496054,1.1781353767560663,0.23650532537639052
Leaf Badge,Prismatic Orb,36,77,352,887,0.040586245772266064,0.08680947012401354,0.3968432919954904,1.1781286894923257,0.23649713641117748
Blood Manipulation,Deck of Cards,38,114,251,887,0.04284103720405862,0.12852311161217586,0.2829763246899662,1.1779548472775565,0.23628423962913578
Deck of Cards,Stone Helm,61,251,183,887,0.06877113866967305,0.2829763246899662,0.20631341600901917,1.1779548472775563,0.2362842396291355
Regular Sapphire,Snow Stick,22,75,221,887,0.02480270574971815,0.08455467869222097,0.2491544532130778,1.177315233785822,0.23550066305104858
Amulet of Energy,Banana,50,136,277,887,0.05636978579481398,0.15332581736189402,0.31228861330326946,1.1772669356551284,0.23544147677626076
Cap of Resilience,Time Melting,28,289,73,887,0.03156708004509583,0.3258173618940248,0.08229988726042842,1.1772289899037778,0.23539497497797193
Paradise Birb,Platinum Customer Card,45,173,196,887,0.05073280721533258,0.19503945885005636,0.2209695603156708,1.1771558334316385,0.23530531887880574
Shiny Shell,Stone Helm,42,173,183,887,0.04735062006764374,0.19503945885005636,0.20631341600901917,1.1767269970624468,0.23477965115905716
Amulet of the Wild,Shelly,78,139,423,887,0.08793686583990981,0.15670800450958286,0.4768883878241263,1.1766926884024695,0.23473758731985508
Heart Container,Relic Case,97,160,457,887,0.10935738444193913,0.18038331454340473,0.5152198421645998,1.1766821663019695,0.23472468654275971
Flawed Sapphire,Shield of Valor,22,155,107,887,0.02480270574971815,0.17474633596392333,0.12063134160090191,1.1766053662948448,0.2346305212629767
Blueberries,Flawed Ruby,92,379,183,887,0.10372040586245772,0.42728297632469,0.20631341600901917,1.1765791484637456,0.2345983739029426
Customer Card,Flawed Topaz,28,91,232,887,0.03156708004509583,0.10259301014656144,0.2615558060879369,1.176392572944297,0.2343695810323995
Amulet of Fortune,Amulet of Life,22,116,143,887,0.02480270574971815,0.13077790304396844,0.161217587373168,1.176392572944297,0.2343695810323995
Amulet of Life,Poison Frog,22,143,116,887,0.02480270574971815,0.161217587373168,0.13077790304396844,1.176392572944297,0.2343695810323995
Holy Armor,Relic Case,40,66,457,887,0.04509582863585118,0.07440811724915446,0.5152198421645998,1.1763145679994695,0.2342739147719031
Prismatic Orb,Strong Heroic Potion,84,352,180,887,0.09470124013528748,0.3968432919954904,0.20293122886133033,1.1759469696969698,0.23382300211285229
Chipped Sapphire,Stone Skin Potion,28,176,120,887,0.03156708004509583,0.1984216459977452,0.13528748590755355,1.1759469696969695,0.233823002112852
Box of Prosperity,Relic Case,63,104,457,887,0.07102593010146561,0.11724915445321307,0.5152198421645998,1.1757490321494697,0.23358014460181836
Cap of Discomfort,Vampiric Gloves,81,497,123,887,0.09131905298759865,0.560315670800451,0.1386696730552424,1.1752956764980127,0.23302375028416283
Mana Orb,Pineapple,31,312,75,887,0.03494926719278467,0.35174746335963925,0.08455467869222097,1.17508547008547,0.2327656953298098
Flawed Topaz,Toad,110,232,358,887,0.12401352874859076,0.2615558060879369,0.4036076662908681,1.1747495665575034,0.23235323543389497
Flute,Ruby Whelp,22,124,134,887,0.02480270574971815,0.13979706877113868,0.15107102593010147,1.1744102070293694,0.2319364120937136
Shelly,Stoned,28,423,50,887,0.03156708004509583,0.4768883878241263,0.05636978579481398,1.1742789598108745,0.2317751734639933
Chipped Ruby,Toad,109,230,358,887,0.12288613303269448,0.2593010146561443,0.4036076662908681,1.1741923730871995,0.23166879086935868
Maneki-neko,Piggybank,36,340,80,887,0.040586245772266064,0.3833145434047351,0.09019165727170236,1.173970588235294,0.23139626471831198
Amulet of Darkness,Flawed Ruby,31,128,183,887,0.03494926719278467,0.14430665163472378,0.20631341600901917,1.1738814890710385,0.23128676640389695
Power of the Moon,Stone Helm,23,95,183,887,0.02593010146561443,0.10710259301014656,0.20631341600901917,1.1734828875467358,0.2307968037430866
Flawed Amethyst,Strong Demonic Flask,43,258,126,887,0.048478015783540024,0.29086809470124014,0.14205186020293123,1.1732804232804233,0.2305478700799912
Chipped Emerald,Fancy Fencing Rapier,41,228,136,887,0.046223224351747465,0.2570462232243517,0.15332581736189402,1.1728263673890609,0.22998944350406647
Crow,Winged Boots,32,235,103,887,0.036076662908680945,0.2649379932356257,0.1161217587373168,1.1726502788680024,0.22977282055284573
Chili Pepper,Relic Case,29,48,457,887,0.03269447576099211,0.05411499436302142,0.5152198421645998,1.1726385849744712,0.22975843364941007
Blood Amulet,False Life,51,223,173,887,0.05749718151071026,0.25140924464487036,0.19503945885005636,1.1725809378159102,0.22968750871553012
Amulet of Alchemy,Flawed Emerald,24,102,178,887,0.02705749718151071,0.11499436302142052,0.20067643742953778,1.1725049570389954,0.22959402208432672
Flawed Amethyst,Paradise Birb,59,258,173,887,0.0665163472378805,0.29086809470124014,0.19503945885005636,1.1724918223775596,0.2295778606029262
Relic Case,Spiked Shield,32,457,53,887,0.036076662908680945,0.5152198421645998,0.05975197294250282,1.1718756451013583,0.22881948467979502
Amulet of Fortune,Chipped Topaz,38,116,248,887,0.04284103720405862,0.13077790304396844,0.27959413754227735,1.1716490545050053,0.22854050223020178
Glowing Crown,White-Eyes Blue Dragon,20,226,67,887,0.02254791431792559,0.2547914317925592,0.07553551296505073,1.1715757495707302,0.2284502363154658
Oil Lamp,Strong Heroic Potion,63,265,180,887,0.07102593010146561,0.2987598647125141,0.20293122886133033,1.171509433962264,0.22836857202074398
False Life,Flawed Topaz,53,173,232,887,0.05975197294250282,0.19503945885005636,0.2615558060879369,1.1712926051425154,0.22810152609996628
Amulet of Fortune,Relic Case,70,116,457,887,0.07891770011273957,0.13077790304396844,0.5152198421645998,1.1712442465856787,0.22804196106038851
Mr. Struggles,Storage Coffin,227,348,494,887,0.25591882750845546,0.3923337091319053,0.5569334836527621,1.1712329563962958,0.22802805415857288
Cap of Discomfort,Perfect Topaz,21,497,32,887,0.02367531003382187,0.560315670800451,0.036076662908680945,1.1712147887323943,0.22800567551753786
Jynx torquilla,Shiny Shell,45,197,173,887,0.05073280721533258,0.22209695603156707,0.19503945885005636,1.1711804231096508,0.22796334353763797
Divine Potion,Flawed Emerald,51,217,178,887,0.05749718151071026,0.24464487034949267,0.20067643742953778,1.1711541448765082,0.2279309728616825
Cap of Resilience,Pestilence Flask,29,289,76,887,0.03269447576099211,0.3258173618940248,0.08568207440811725,1.171143689674012,0.2279180934843716
Full Body Protection,Storage Coffin,30,46,494,887,0.033821871476888386,0.05186020293122886,0.5569334836527621,1.1710086252420349,0.2277517022678919
Amulet of Life,Platinum Customer Card,37,143,196,887,0.04171364148816235,0.161217587373168,0.2209695603156708,1.1709362066504923,0.2276624790364159
Amulet of Steel,Holo Fire Lizard,23,132,132,887,0.02593010146561443,0.1488162344983089,0.1488162344983089,1.170856290174472,0.22756401164116977
Chipped Ruby,Ruby Chonk,34,230,112,887,0.038331454340473504,0.2593010146561443,0.1262683201803833,1.1707298136645963,0.22740816254942398
Regular Emerald,Snowball,31,83,283,887,0.03494926719278467,0.0935738444193912,0.31905298759864714,1.1706330622844736,0.22728893050913204
Amulet of Life,Oil Lamp,50,143,265,887,0.05636978579481398,0.161217587373168,0.2987598647125141,1.1703390948673966,0.22692659784683747
Blueberries,Flawed Amethyst,129,379,258,887,0.14543404735062007,0.42728297632469,0.29086809470124014,1.1701846965699207,0.22673625612997206
Blueberries,Full Body Protection,23,379,46,887,0.02593010146561443,0.42728297632469,0.05186020293122886,1.1701846965699207,0.22673625612997206
Blueberries,Flawless Sapphire,23,379,46,887,0.02593010146561443,0.42728297632469,0.05186020293122886,1.1701846965699207,0.22673625612997206
Blueberries,Stoned,25,379,50,887,0.02818489289740699,0.42728297632469,0.05636978579481398,1.1701846965699205,0.22673625612997178
Fly Agaric,Jynx torquilla,33,127,197,887,0.03720405862457723,0.14317925591882752,0.22209695603156707,1.1699508373636036,0.22644790743097515
Fortuna's Kiss,Prismatic Orb,26,56,352,887,0.029312288613303268,0.06313416009019165,0.3968432919954904,1.1699472402597404,0.22644347174725485
Chipped Sapphire,Ruby Chonk,26,176,112,887,0.029312288613303268,0.1984216459977452,0.1262683201803833,1.1699472402597404,0.22644347174725485
Divine Potion,Snowball,81,217,283,887,0.09131905298759865,0.24464487034949267,0.31905298759864714,1.1699369819739136,0.22643082190932715
Glowing Crown,Regular Ruby,31,226,104,887,0.03494926719278467,0.2547914317925592,0.11724915445321307,1.1698859768550034,0.2263679241316592
Mrs. Struggles,Storage Coffin,226,347,494,887,0.2547914317925592,0.39120631341600903,0.5569334836527621,1.1694337817498746,0.225810172553313
Crow,Storage Coffin,153,235,494,887,0.17249154453213078,0.2649379932356257,0.5569334836527621,1.1690154190714102,0.22529395884403833
Flawed Ruby,Maneki-neko,82,183,340,887,0.09244644870349493,0.20631341600901917,0.3833145434047351,1.1689810350369656,0.22525152449740335
Chipped Amethyst,Toad,142,301,358,887,0.1600901916572717,0.33934611048478014,0.4036076662908681,1.1688598526327514,0.22510195978178774
Mana Orb,Strong Heroic Potion,74,312,180,887,0.0834272829763247,0.35174746335963925,0.20293122886133033,1.1687678062678062,0.2249883447380905
Piggy Pinata,Toad,25,53,358,887,0.02818489289740699,0.05975197294250282,0.4036076662908681,1.1687045430589227,0.22491025224833291
Amulet of Energy,Paradise Birb,31,136,173,887,0.03494926719278467,0.15332581736189402,0.19503945885005636,1.1686926215572935,0.2248955358008751
Amulet of Steel,Chipped Ruby,40,132,230,887,0.04509582863585118,0.1488162344983089,0.2593010146561443,1.1686429512516467,0.22483421888559738
Chipped Amethyst,Double Rainbow,23,301,58,887,0.02593010146561443,0.33934611048478014,0.06538895152198422,1.1685760109978234,0.22475157847080263
Amulet of Fortune,Chipped Amethyst,46,116,301,887,0.05186020293122886,0.13077790304396844,0.33934611048478014,1.1685760109978232,0.22475157847080235
Storage Coffin,Strong Demonic Flask,82,494,126,887,0.09244644870349493,0.5569334836527621,0.14205186020293123,1.1685303001092475,0.2246951438345535
Ruby Chonk,Stone Helm,27,112,183,887,0.030439684329199548,0.1262683201803833,0.20631341600901917,1.1684718969555035,0.2246230361228858
Echoing Battlecry,Mr. Struggles,44,96,348,887,0.0496054114994363,0.10822998872604284,0.3923337091319053,1.168223180076628,0.2243159163684763
Chipped Amethyst,Pocket Sand,44,301,111,887,0.0496054114994363,0.33934611048478014,0.12514092446448705,1.1681182843973543,0.22418636982855333
Glowing Crown,Stone Shoes,25,226,84,887,0.02818489289740699,0.2547914317925592,0.09470124013528748,1.1680889169827222,0.22415009888184048
Flute,Snake,24,124,147,887,0.02705749718151071,0.13979706877113868,0.1657271702367531,1.1678736010533246,0.22388413979898053
Platinum Customer Card,Regular Topaz,32,196,124,887,0.036076662908680945,0.2209695603156708,0.13979706877113868,1.1678736010533244,0.22388413979898025
Box of Riches,False Life,23,101,173,887,0.02593010146561443,0.11386696730552424,0.19503945885005636,1.1675728266468266,0.22351253996955747
Chipped Emerald,Maneki-neko,102,228,340,887,0.11499436302142052,0.2570462232243517,0.3833145434047351,1.1671052631578949,0.2229346859701162
Chipped Emerald,Healing Herbs,42,228,140,887,0.04735062006764374,0.2570462232243517,0.15783540022547915,1.1671052631578946,0.22293468597011593
Heart Container,Moon Shield,28,160,133,887,0.03156708004509583,0.18038331454340473,0.14994363021420518,1.1671052631578946,0.22293468597011593
Chipped Ruby,Flame,23,230,76,887,0.02593010146561443,0.2593010146561443,0.08568207440811725,1.1671052631578946,0.22293468597011593
Amulet of Energy,Vampiric Gloves,22,136,123,887,0.02480270574971815,0.15332581736189402,0.1386696730552424,1.166547106647537,0.2222445663487818
Chipped Amethyst,Vampiric Potion,38,301,96,887,0.04284103720405862,0.33934611048478014,0.10822998872604284,1.1664590254706535,0.2221356302637913
Flawed Amethyst,Vampiric Armor,38,258,112,887,0.04284103720405862,0.29086809470124014,0.1262683201803833,1.1664590254706535,0.2221356302637913
Cap of Discomfort,Chipped Sapphire,115,497,176,887,0.12965050732807215,0.560315670800451,0.1984216459977452,1.166144594841778,0.22174668504585562
Blood Amulet,Flawed Topaz,68,223,232,887,0.07666290868094701,0.25140924464487036,0.2615558060879369,1.1658419669089222,0.22137224050352636
Shelly,Toad,199,423,358,887,0.22435174746335965,0.4768883878241263,0.4036076662908681,1.1656101007699724,0.22108528446050657
Cap of Resilience,Darksaber,30,289,79,887,0.033821871476888386,0.3258173618940248,0.08906426155580609,1.165520564145241,0.22097445923180062
Holo Fire Lizard,Paradise Birb,30,132,173,887,0.033821871476888386,0.1488162344983089,0.19503945885005636,1.1652653704676825,0.22065854291440423
Amulet of Life,Demonic Flask,34,143,181,887,0.038331454340473504,0.161217587373168,0.2040586245772266,1.16516632538732,0.22053591168980857
Cap of Resilience,Sir Sand,93,289,245,887,0.10484780157835401,0.3258173618940248,0.2762119503945885,1.1650448414659982,0.22038548390584592
Regular Emerald,Wolpertinger,23,83,211,887,0.02593010146561443,0.0935738444193912,0.237880496054115,1.1649060697767373,0.22021363030396685
Lump of Coal,Mrs. Struggles,36,79,347,887,0.040586245772266064,0.08906426155580609,0.39120631341600903,1.1648487943676358,0.2201426949880124
Amulet of Energy,Platinum Customer Card,35,136,196,887,0.03945885005636979,0.15332581736189402,0.2209695603156708,1.164653361344538,0.21990062588048295
Relic Case,Strong Heroic Potion,108,457,180,887,0.12175873731679819,0.5152198421645998,0.20293122886133033,1.1645514223194746,0.21977434507678775
Glowing Crown,Leather Boots,27,226,91,887,0.030439684329199548,0.2547914317925592,0.10259301014656144,1.16449479723816,0.21970419385064846
Heroic Potion,Prismatic Orb,61,132,352,887,0.06877113866967305,0.1488162344983089,0.3968432919954904,1.1644929407713498,0.21970189386819938
Flawed Topaz,Jynx torquilla,60,232,197,887,0.06764374295377677,0.2615558060879369,0.22209695603156707,1.1644495011377558,0.2196480753256338
Amulet of Life,Banana,52,143,277,887,0.058624577226606536,0.161217587373168,0.31228861330326946,1.1644240236297998,0.2196165096145783
Flawed Emerald,Shield of Valor,25,178,107,887,0.02818489289740699,0.20067643742953778,0.12063134160090191,1.1642864643494697,0.21944606670824385
Cap of Discomfort,Frostbite,30,497,46,887,0.033821871476888386,0.560315670800451,0.05186020293122886,1.163940162715423,0.21901689229028354
Amulet of Feasting,Storage Coffin,46,71,494,887,0.05186020293122886,0.08004509582863585,0.5569334836527621,1.1633118549352799,0.21823789926871728
Heavy Drinking,Mana Orb,36,88,312,887,0.040586245772266064,0.0992108229988726,0.35174746335963925,1.1630244755244754,0.2178814582438305
Chipped Sapphire,Customer Card,21,176,91,887,0.02367531003382187,0.1984216459977452,0.10259301014656144,1.1630244755244754,0.2178814582438305
Amulet of Life,Vampiric Armor,21,143,112,887,0.02367531003382187,0.161217587373168,0.1262683201803833,1.1630244755244754,0.2178814582438305
The Fool,Toad,23,49,358,887,0.02593010146561443,0.0552423900789177,0.4036076662908681,1.1629802759092462,0.21782662897861194
Fancy Fencing Rapier,Flawed Amethyst,46,136,258,887,0.05186020293122886,0.15332581736189402,0.29086809470124014,1.1628476972184223,0.21766215368448327
Amulet of Energy,Chipped Ruby,41,136,230,887,0.046223224351747465,0.15332581736189402,0.2593010146561443,1.1626278772378518,0.21738940672443308
Divine Potion,No Rush Please,31,217,109,887,0.03494926719278467,0.24464487034949267,0.12288613303269448,1.162516382699869,0.2172510474665335
Amulet of the Wild,Flawed Amethyst,47,139,258,887,0.05298759864712514,0.15670800450958286,0.29086809470124014,1.16248396631532,0.2172108178319398
Amulet of Darkness,Flawed Sapphire,26,128,155,887,0.029312288613303268,0.14430665163472378,0.17474633596392333,1.162399193548387,0.21710560716791844
Chipped Amethyst,Strong Heroic Potion,71,301,180,887,0.08004509582863585,0.33934611048478014,0.20293122886133033,1.1623661867847916,0.21706464071636944
Box of Riches,Maneki-neko,45,101,340,887,0.05073280721533258,0.11386696730552424,0.3833145434047351,1.1623471170646476,0.21704097174124198
Platinum Customer Card,Stone Helm,47,196,183,887,0.05298759864712514,0.2209695603156708,0.20631341600901917,1.162289505966321,0.2169694635794506
Banana,Regular Topaz,45,277,124,887,0.05073280721533258,0.31228861330326946,0.13979706877113868,1.162076394549901,0.21670491419467514
Enchanted Weapons,Mrs. Struggles,30,66,347,887,0.033821871476888386,0.07440811724915446,0.39120631341600903,1.1619072570081215,0.21649491797286796
Bag of Stones,Mrs. Struggles,20,44,347,887,0.02254791431792559,0.0496054114994363,0.39120631341600903,1.1619072570081215,0.21649491797286796
Poison Frog,Snowball,43,116,283,887,0.048478015783540024,0.13077790304396844,0.31905298759864714,1.161843548190569,0.21641581104370722
Amulet of Darkness,Paradise Birb,29,128,173,887,0.03269447576099211,0.14430665163472378,0.19503945885005636,1.1616239161849713,0.21614306179191162
Healing Herbs,Strong Heroic Potion,33,140,180,887,0.03720405862457723,0.15783540022547915,0.20293122886133033,1.161547619047619,0.21604830038487616
Lump of Coal,Mr. Struggles,36,79,348,887,0.040586245772266064,0.08906426155580609,0.3923337091319053,1.161501527717154,0.21599105171754504
King Crown,Mana Orb,29,71,312,887,0.03269447576099211,0.08004509582863585,0.35174746335963925,1.1612044059227158,0.21562195106170562
Djinn Lamp,Winged Boots,24,178,103,887,0.02705749718151071,0.20067643742953778,0.1161217587373168,1.1611214137667718,0.21551883687260354
Blueberries,Vampiric Gloves,61,379,123,887,0.06877113866967305,0.42728297632469,0.1386696730552424,1.1606709998498401,0.21495908835361852
Cap of Discomfort,Doom Cap,104,497,160,887,0.11724915445321307,0.560315670800451,0.18038331454340473,1.1600603621730383,0.21419987599250764
Chipped Amethyst,Nocturnal Lock Lifter,74,301,188,887,0.0834272829763247,0.33934611048478014,0.21195039458850057,1.1599278999081077,0.21403513149267425
Djinn Lamp,Poison Frog,27,178,116,887,0.030439684329199548,0.20067643742953778,0.13077790304396844,1.1598702053467647,0.21396337037056234
Chipped Emerald,Mana Orb,93,228,312,887,0.10484780157835401,0.2570462232243517,0.35174746335963925,1.159623819163293,0.2136568723821055
Glowing Crown,Heavy Drinking,26,226,88,887,0.029312288613303268,0.2547914317925592,0.0992108229988726,1.1595937248592114,0.21361943138967088
Maneki-neko,Strong Heroic Potion,80,340,180,887,0.09019165727170236,0.3833145434047351,0.20293122886133033,1.1594771241830064,0.2134743567210496
Amulet of Life,Burning Coal,40,143,214,887,0.04509582863585118,0.161217587373168,0.24126268320180383,1.1594013463172341,0.2133800660088898
No Rush Please,Toad,51,109,358,887,0.05749718151071026,0.12288613303269448,0.4036076662908681,1.159269130234227,0.21321553423137696
Crow,Fly Agaric,39,235,127,887,0.043968432919954906,0.2649379932356257,0.14317925591882752,1.1590886245602279,0.2129908798261467
Box of Riches,Jynx torquilla,26,101,197,887,0.029312288613303268,0.11386696730552424,0.22209695603156707,1.159069206413027,0.21296671023398495
Regular Topaz,Toad,58,124,358,887,0.06538895152198422,0.13979706877113868,0.4036076662908681,1.158902504955848,0.21275920177750438
Chipped Amethyst,Djinn Lamp,70,301,178,887,0.07891770011273957,0.33934611048478014,0.20067643742953778,1.1588711784687746,0.2127202035199307
Amulet of Feasting,Chipped Topaz,23,71,248,887,0.02593010146561443,0.08004509582863585,0.27959413754227735,1.1586210813266695,0.21240882046651927
Enchanted Weapons,Mr. Struggles,30,66,348,887,0.033821871476888386,0.07440811724915446,0.3923337091319053,1.1585684430512015,0.21234327470240053
Regular Sapphire,Sir Sand,24,75,245,887,0.02705749718151071,0.08455467869222097,0.2762119503945885,1.158530612244898,0.21229616552376862
Badger Spirit Companion,Storage Coffin,20,31,494,887,0.02254791431792559,0.03494926719278467,0.5569334836527621,1.1584171346480343,0.21215484721687317
Chipped Amethyst,False Life,68,301,173,887,0.07666290868094701,0.33934611048478014,0.19503945885005636,1.1582970061260152,0.2120052311549763
Banana,Nocturnal Lock Lifter,68,277,188,887,0.07666290868094701,0.31228861330326946,0.21195039458850057,1.1582302788232581,0.21192211782457734
False Life,Flawed Sapphire,35,173,155,887,0.03945885005636979,0.19503945885005636,0.17474633596392333,1.1577475293678912,0.2113206783350682
Paradise Birb,Star of Courage,35,173,155,887,0.03945885005636979,0.19503945885005636,0.17474633596392333,1.1577475293678912,0.2113206783350682
False Life,Regular Topaz,28,173,124,887,0.03156708004509583,0.19503945885005636,0.13979706877113868,1.1577475293678912,0.2113206783350682
Chipped Topaz,False Life,56,248,173,887,0.06313416009019165,0.27959413754227735,0.19503945885005636,1.157747529367891,0.21132067833506793
Flawless Topaz,Relic Case,34,57,457,887,0.038331454340473504,0.06426155580608793,0.5152198421645998,1.1577411800836885,0.21131276632859203
Chipped Amethyst,Dark Ritual,33,301,84,887,0.03720405862457723,0.33934611048478014,0.09470124013528748,1.1576886568580922,0.21124731412105513
Chipped Amethyst,Fortuna's Kiss,22,301,56,887,0.02480270574971815,0.33934611048478014,0.06313416009019165,1.1576886568580922,0.21124731412105513
Blood Manipulation,Cap of Resilience,43,114,289,887,0.048478015783540024,0.12852311161217586,0.3258173618940248,1.1576822679536212,0.21123935233774144
Chipped Sapphire,Snowball,65,176,283,887,0.07328072153325817,0.1984216459977452,0.31905298759864714,1.1575449726951494,0.2110682458603389
Flawed Topaz,No Rush Please,33,232,109,887,0.03720405862457723,0.2615558060879369,0.12288613303269448,1.1575055362227145,0.211019093755019
Blueberries,Leather Boots,45,379,91,887,0.05073280721533258,0.42728297632469,0.10259301014656144,1.1573255240801414,0.21079471226095056
Amulet of Energy,Chipped Topaz,44,136,248,887,0.0496054114994363,0.15332581736189402,0.27959413754227735,1.1571394686907022,0.21056276130114662
Amulet of Alchemy,Chipped Topaz,33,102,248,887,0.03720405862457723,0.11499436302142052,0.27959413754227735,1.157139468690702,0.21056276130114635
Chipped Ruby,Piggybank,24,230,80,887,0.02705749718151071,0.2593010146561443,0.09019165727170236,1.1569565217391304,0.2103346491904825
Cursed Dagger,Vampiric Armor,26,178,112,887,0.029312288613303268,0.20067643742953778,0.1262683201803833,1.1568017656500802,0.2101416594181541
Burning Coal,Chipped Amethyst,84,214,301,887,0.09470124013528748,0.24126268320180383,0.33934611048478014,1.1567050641164962,0.2100210539189749
Heavy Drinking,Stone Helm,21,88,183,887,0.02367531003382187,0.0992108229988726,0.20631341600901917,1.1566691505216096,0.2099762601584845
Flawed Ruby,Heavy Drinking,21,183,88,887,0.02367531003382187,0.20631341600901917,0.0992108229988726,1.1566691505216093,0.20997626015848422
Katana,Mana Orb,24,59,312,887,0.02705749718151071,0.0665163472378805,0.35174746335963925,1.1564537157757497,0.20970752679813054
Cap of Discomfort,Chipped Amethyst,195,497,301,887,0.21984216459977451,0.560315670800451,0.33934611048478014,1.1562063410362509,0.20939888972868653
Banana,Moon Shield,48,277,133,887,0.05411499436302142,0.31228861330326946,0.14994363021420518,1.1556689557829591,0.20872819347184204
Glowing Crown,Strong Heroic Potion,53,226,180,887,0.05975197294250282,0.2547914317925592,0.20293122886133033,1.1556293018682398,0.20867869011940043
Flawed Emerald,Toad,83,178,358,887,0.0935738444193912,0.20067643742953778,0.4036076662908681,1.1553104011047644,0.20828051741733453
Corrupted Crystal,Leather Boots,48,405,91,887,0.05411499436302142,0.45659526493799324,0.10259301014656144,1.1552299552299552,0.20818005705153667
Amulet of Life,Death Scythe,27,143,145,887,0.030439684329199548,0.161217587373168,0.16347237880496054,1.1550036170725826,0.20789736967120853
Amulet of the Wild,Snow Stick,40,139,221,887,0.04509582863585118,0.15670800450958286,0.2491544532130778,1.1549855138513623,0.20787475707348713
Amulet of Darkness,Amulet of Steel,22,128,132,887,0.02480270574971815,0.14430665163472378,0.1488162344983089,1.1549479166666667,0.2078277935799078
Doom Cap,Health Potion,25,160,120,887,0.02818489289740699,0.18038331454340473,0.13528748590755355,1.1549479166666665,0.20782779357990752
Cap of Discomfort,Twine Badge,22,497,34,887,0.02480270574971815,0.560315670800451,0.038331454340473504,1.154811220262753,0.20765703012573553
Blood Amulet,Regular Topaz,36,223,124,887,0.040586245772266064,0.25140924464487036,0.13979706877113868,1.1547808476782873,0.20761908543619628
Amulet of the Wild,Corrupted Armor,57,139,315,887,0.06426155580608793,0.15670800450958286,0.3551296505073281,1.1547105173004453,0.2075312173550192
Toad,Winged Boots,48,358,103,887,0.05411499436302142,0.4036076662908681,0.1161217587373168,1.1546347019580192,0.20743649057474525
Corrupted Crystal,Shelly,223,405,423,887,0.25140924464487036,0.45659526493799324,0.4768883878241263,1.1546040918775355,0.20739824332943183
Flawed Amethyst,Ruby Whelp,45,258,134,887,0.05073280721533258,0.29086809470124014,0.15107102593010147,1.1545470322804583,0.2073269447497122
Jynx torquilla,Mana Orb,80,197,312,887,0.09019165727170236,0.22209695603156707,0.35174746335963925,1.1544969412989718,0.20726435086980174
Pocket Sand,Strong Heroic Potion,26,111,180,887,0.029312288613303268,0.12514092446448705,0.20293122886133033,1.154254254254254,0.20696104976237503
Burning Coal,Chipped Sapphire,49,214,176,887,0.0552423900789177,0.24126268320180383,0.1984216459977452,1.153966652506372,0.20660153337782783
Flawed Sapphire,Flute,25,155,124,887,0.02818489289740699,0.17474633596392333,0.13979706877113868,1.1537460978147762,0.20632576841467573
Blueberries,King Crown,35,379,71,887,0.03945885005636979,0.42728297632469,0.08004509582863585,1.1537032219703445,0.20627215357025655
Burning Coal,Chipped Topaz,69,214,248,887,0.0777903043968433,0.24126268320180383,0.27959413754227735,1.1532069641242086,0.20565145429121082
Amulet of Life,Mana Orb,58,143,312,887,0.06538895152198422,0.161217587373168,0.35174746335963925,1.1530840953917878,0.20549773378799838
Ruby Whelp,Star of Courage,27,134,155,887,0.030439684329199548,0.15107102593010147,0.17474633596392333,1.1530572941742898,0.2054642007325224
Cap of Discomfort,Djinn Lamp,115,497,178,887,0.12965050732807215,0.560315670800451,0.20067643742953778,1.1530418465851286,0.20544487271675504
