A,B,nAB,nA,nB,M,pAB,pA,pB,lift,pmi
The Lovers,Vampiric Potion,26,62,96,887,0.029312288613303268,0.06989853438556934,0.10822998872604284,3.8746639784946235,1.9540712013341246
Cauldron,Staff of Unhealing,26,121,50,887,0.029312288613303268,0.13641488162344984,0.05636978579481398,3.8119008264462804,1.9305105853928366
Ace of Spades,Bloodthorne,33,62,124,887,0.03720405862457723,0.06989853438556934,0.13979706877113868,3.8073621227887617,1.928791792885767
Heavy Drinking,Strong Stone Skin Potion,32,88,86,887,0.036076662908680945,0.0992108229988726,0.09695603156708005,3.7505285412262155,1.9070939209616686
Holo Fire Lizard,Jimbo,34,132,61,887,0.038331454340473504,0.1488162344983089,0.06877113866967305,3.7454048683556875,1.9051216786300633
Garlic,Smelly Wall,47,128,87,887,0.05298759864712514,0.14430665163472378,0.09808342728297632,3.7436242816091956,1.904435650129973
Stone Skin Potion,Strong Pestilence Flask,56,120,111,887,0.06313416009019165,0.13528748590755355,0.12514092446448705,3.729129129129129,1.8988387544000436
Death Scythe,Stone Armor,70,145,115,887,0.07891770011273957,0.16347237880496054,0.12965050732807215,3.7235382308845577,1.8966741702867207
Holo Fire Lizard,White-Eyes Blue Dragon,37,132,67,887,0.04171364148816235,0.1488162344983089,0.07553551296505073,3.710877431026685,1.8917603501137878
Stone Armor,Strong Pestilence Flask,53,115,111,887,0.05975197294250282,0.12965050732807215,0.12514092446448705,3.682804543674109,1.8808048315697818
Pestilence Flask,Strong Pestilence Flask,35,76,111,887,0.03945885005636979,0.08568207440811725,0.12514092446448705,3.6800616405879567,1.879729931452339
Cursed Dagger,Poison Dagger,56,178,76,887,0.06313416009019165,0.20067643742953778,0.08568207440811725,3.6717918391484323,1.8764842719486845
Cursed Dagger,Poison Spear,28,178,38,887,0.03156708004509583,0.20067643742953778,0.04284103720405862,3.6717918391484323,1.8764842719486845
Poison Frog,Poison Goobert,22,116,46,887,0.02480270574971815,0.13077790304396844,0.05186020293122886,3.657046476761619,1.870678961753776
Hammer,Strong Heroic Potion,40,54,180,887,0.04509582863585118,0.060879368658399095,0.20293122886133033,3.650205761316873,1.867977790695283
Magic Torch,Nocturnal Lock Lifter,34,44,188,887,0.038331454340473504,0.0496054114994363,0.21195039458850057,3.645793036750484,1.8662326652364687
Fancy Fencing Rapier,It’s Slime Time!,29,136,52,887,0.03269447576099211,0.15332581736189402,0.058624577226606536,3.6373020361990953,1.8628687300372047
Heavy Drinking,Strong Pestilence Flask,40,88,111,887,0.04509582863585118,0.0992108229988726,0.12514092446448705,3.6322686322686324,1.860870904201023
Bloodthorne,Vampiric Gloves,62,124,123,887,0.06989853438556934,0.13979706877113868,0.1386696730552424,3.605691056910569,1.850275788961824
Strong Demonic Flask,Strong Stone Skin Potion,44,126,86,887,0.0496054114994363,0.14205186020293123,0.09695603156708005,3.6016980435585086,1.8486772347363467
Deck of Cards,White-Eyes Blue Dragon,67,251,67,887,0.07553551296505073,0.2829763246899662,0.07553551296505073,3.5338645418326693,1.8212467403502919
Deck of Cards,The Lovers,62,251,62,887,0.06989853438556934,0.2829763246899662,0.06989853438556934,3.5338645418326693,1.8212467403502919
Ace of Spades,Deck of Cards,62,62,251,887,0.06989853438556934,0.06989853438556934,0.2829763246899662,3.5338645418326693,1.8212467403502919
Deck of Cards,Jimbo,61,251,61,887,0.06877113866967305,0.2829763246899662,0.06877113866967305,3.5338645418326693,1.8212467403502919
Deck of Cards,Reverse!,44,251,44,887,0.0496054114994363,0.2829763246899662,0.0496054114994363,3.5338645418326693,1.8212467403502919
Deck of Cards,Heart of the Cards,20,251,20,887,0.02254791431792559,0.2829763246899662,0.02254791431792559,3.5338645418326693,1.8212467403502919
Deck of Cards,The Fool,49,251,49,887,0.0552423900789177,0.2829763246899662,0.0552423900789177,3.533864541832669,1.8212467403502917
Darkest Lotus,Deck of Cards,38,38,251,887,0.04284103720405862,0.04284103720405862,0.2829763246899662,3.533864541832669,1.8212467403502917
Stone Skin Potion,Strong Demonic Flask,60,120,126,887,0.06764374295377677,0.13528748590755355,0.14205186020293123,3.51984126984127,1.8155103708011475
