round,item_name,matches_reached,usage_matches,usage_rate,wins,winrate_pct
12,Ripsaw Blade,477,2,0.0041928721174004195,2,100.0
12,Belladonna's Shade,477,2,0.0041928721174004195,2,100.0
12,Wand of Equilibrium,477,2,0.0041928721174004195,2,100.0
12,Sun Shield,477,2,0.0041928721174004195,2,100.0
12,Snowmaster,477,2,0.0041928721174004195,2,100.0
12,Burning Torch,477,2,0.0041928721174004195,2,100.0
12,Holy Spear,477,2,0.0041928721174004195,2,100.0
12,Impractically Large Greatsword,477,2,0.0041928721174004195,2,100.0
12,Cupcake Goobert,477,2,0.0041928721174004195,2,100.0
12,Snowcake,477,2,0.0041928721174004195,2,100.0
12,Wooden Sword,477,2,0.0041928721174004195,2,100.0
12,Dragonskin Boots,477,2,0.0041928721174004195,2,100.0
12,Perfect Ruby,477,2,0.0041928721174004195,2,100.0
12,Spell Scroll: Regrowth,477,2,0.0041928721174004195,2,100.0
12,Pumpkin,477,2,0.0041928721174004195,2,100.0
12,Armored Power Puppy,477,2,0.0041928721174004195,2,100.0
12,Steel Goobert,477,2,0.0041928721174004195,2,100.0
12,Badger Rune,477,2,0.0041928721174004195,2,100.0
12,Staff of Fire,477,2,0.0041928721174004195,2,100.0
12,Squirrel,477,1,0.0020964360587002098,1,100.0
12,Death Lotus,477,1,0.0020964360587002098,1,100.0
12,Spell Scroll: Dark Frenzy,477,1,0.0020964360587002098,1,100.0
12,Walrus Tusk,477,1,0.0020964360587002098,1,100.0
12,Perfect Emerald,477,1,0.0020964360587002098,1,100.0
12,Hero Sword,477,1,0.0020964360587002098,1,100.0
12,Armored Wisdom Puppy,477,1,0.0020964360587002098,1,100.0
12,Tusk Piercer,477,1,0.0020964360587002098,1,100.0
12,Draconic Orb,477,1,0.0020964360587002098,1,100.0
12,Pan,477,1,0.0020964360587002098,1,100.0
12,Dragon Knight,477,1,0.0020964360587002098,1,100.0
12,Null Blade,477,1,0.0020964360587002098,1,100.0
12,Rope,477,1,0.0020964360587002098,1,100.0
12,Armored Courage Puppy,477,1,0.0020964360587002098,1,100.0
12,Cheese Goobert,477,1,0.0020964360587002098,1,100.0
12,Emerald Egg,477,1,0.0020964360587002098,1,100.0
12,Chili Goobert,477,1,0.0020964360587002098,1,100.0
12,Sun Armor,477,1,0.0020964360587002098,1,100.0
12,Owl Spirit Companion,477,1,0.0020964360587002098,1,100.0
12,Employee Uniform,477,1,0.0020964360587002098,1,100.0
12,Impractically Large Bloodthorne,477,1,0.0020964360587002098,1,100.0
12,Happy Bomb,477,1,0.0020964360587002098,1,100.0
12,Spell Scroll: Ice Block,477,1,0.0020964360587002098,1,100.0
12,Chain Whip,477,1,0.0020964360587002098,1,100.0
12,Rainbow Goobert Deathslushy Mansquisher,477,1,0.0020964360587002098,1,100.0
12,Hyper Hedgehog,477,1,0.0020964360587002098,1,100.0
12,Sapphire Whelp,477,1,0.0020964360587002098,1,100.0
12,Puzzlebag of Energy,477,1,0.0020964360587002098,1,100.0
12,Encyclopspedia of Darkness,477,1,0.0020964360587002098,1,100.0
12,Villain Sword,477,1,0.0020964360587002098,1,100.0
12,Spear,477,1,0.0020964360587002098,1,100.0
12,Sapphire Egg,477,1,0.0020964360587002098,1,100.0
12,Broccoli,477,1,0.0020964360587002098,1,100.0
12,Pop,477,1,0.0020964360587002098,1,100.0
12,Nature Chronicles: Trees,477,1,0.0020964360587002098,1,100.0
12,Obsidian Dragon,477,1,0.0020964360587002098,1,100.0
13,Leather Bag,477,477,1.0,453,94.9685534591195
13,Fanny Pack,477,472,0.989517819706499,448,94.91525423728814
13,Stamina Sack,477,406,0.8511530398322851,386,95.07389162561576
13,Potion Belt,477,365,0.7651991614255765,346,94.79452054794521
13,Protective Purse,477,335,0.7023060796645703,315,94.02985074626866
13,Relic Case,477,254,0.5324947589098532,239,94.09448818897637
13,Piggybank,477,245,0.5136268343815513,227,92.65306122448979
13,Deck of Cards,477,220,0.4612159329140461,210,95.45454545454545
13,Storage Coffin,477,213,0.44654088050314467,204,95.77464788732394
13,Cap of Discomfort,477,200,0.4192872117400419,187,93.5
13,Box of Riches,477,188,0.3941299790356394,179,95.2127659574468
13,Corrupted Crystal,477,164,0.3438155136268344,159,96.95121951219512
13,Chipped Amethyst,477,162,0.33962264150943394,156,96.29629629629629
13,Blueberries,477,160,0.33542976939203356,152,95.0
13,Cursed Dagger,477,148,0.31027253668763105,143,96.62162162162163
13,Banana,477,142,0.2976939203354298,133,93.66197183098592
13,Toad,477,131,0.2746331236897275,127,96.94656488549617
13,Shelly,477,130,0.27253668763102723,124,95.38461538461539
